timestamp,task,status,execution_time
2025-02-19 01:55:27.897383,Extract,Failed,0.0
2025-02-19 01:56:01.869425,Extract,Failed,0.0
2025-02-19 01:58:38.541261,Extract,Failed,0.0
2025-02-19 02:01:09.378347,Extract,Failed,0.0
2025-02-19 02:01:38.876757,Extract,Failed,0.0
2025-02-19 02:03:43.782230,Extract,Success,1.9821209907531736
2025-02-19 02:05:15.263533,Extract,Success,1.6897761821746826
2025-02-19 03:02:03.774579,Extract,Success,2.048226833343506
2025-02-19 03:03:03.833660,Extract,Success,1.2838270664215088
2025-02-19 03:06:00.245151,Extract,Success,2.602452278137207
2025-02-19 03:08:50.693053,Extract,Success,1.5192885398864746
